K1a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 125.00, 123.72, 122.45, 121.17, 119.90, 118.62, 117.34, 116.07, 114.79, 113.52, 112.24, 110.96, 109.69, 108.41, 107.14, 105.86, 104.58, 103.31, 102.03, 100.76, 99.48, 98.20, 96.93, 95.65, 94.38, 93.10, 91.82, 90.55, 89.27, 88.00, 86.72, 85.44, 84.17, 82.89, 81.62, 80.34, 79.06, 77.79, 76.51, 75.24, 73.96, 72.68, 71.41, 70.13, 68.86, 67.58, 66.30, 65.03, 63.75, 62.48, 61.20, 59.92, 58.65, 57.37, 56.10, 54.82, 53.54, 52.27, 50.99, 49.72, 48.44, 47.16, 45.89, 44.61, 43.34, 42.06, 40.78, 39.51, 38.23, 36.96, 35.68, 34.40, 33.13, 31.85, 30.58, 29.30, 28.02, 26.75, 25.47, 24.20, 22.92, 21.64, 20.37, 19.09, 17.82, 16.54, 15.26, 13.99, 12.71, 11.44, 10.16, 8.88, 7.61, 6.33, 5.06, 3.78, 2.50, 1.23, 0.00
###
K1b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 15.00, 14.85, 14.69, 14.54, 14.39, 14.23, 14.08, 13.93, 13.78, 13.62, 13.47, 13.32, 13.16, 13.01, 12.86, 12.70, 12.55, 12.40, 12.24, 12.09, 11.94, 11.79, 11.63, 11.48, 11.33, 11.17, 11.02, 10.87, 10.71, 10.56, 10.41, 10.26, 10.10, 9.95, 9.80, 9.64, 9.49, 9.34, 9.18, 9.03, 8.88, 8.72, 8.57, 8.42, 8.27, 8.11, 7.96, 7.81, 7.65, 7.50, 7.35, 7.19, 7.04, 6.89, 6.73, 6.58, 6.43, 6.28, 6.12, 5.97, 5.82, 5.66, 5.51, 5.36, 5.20, 5.05, 4.90, 4.74, 4.59, 4.44, 4.29, 4.13, 3.98, 3.83, 3.67, 3.52, 3.37, 3.21, 3.06, 2.91, 2.76, 2.60, 2.45, 2.30, 2.14, 1.99, 1.84, 1.68, 1.53, 1.38, 1.22, 1.07, 0.92, 0.77, 0.61, 0.46, 0.31, 0.15, 0.00
K1c, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 45.00, 44.54, 44.08, 43.62, 43.16, 42.70, 42.24, 41.79, 41.33, 40.87, 40.41, 39.95, 39.49, 39.03, 38.57, 38.11, 37.65, 37.19, 36.73, 36.28, 35.82, 35.26, 34.90, 34.44, 33.98, 33.52, 33.06, 32.60, 32.14, 31.68, 31.22, 30.77, 30.31, 29.85, 29.39, 28.93, 28.47, 28.01, 27.55, 27.09, 26.63, 26.17, 25.71, 25.26, 24.80, 24.34, 23.88, 23.42, 22.96, 22.50, 22.04, 21.58, 21.12, 20.66, 20.20, 19.74, 19.29, 18.83, 18.37, 17.91, 17.45, 16.99, 16.53, 16.07, 15.61, 15.15, 14.69, 14.23, 13.78, 13.32, 12.86, 12.40, 11.94, 11.48, 11.02, 10.56, 10.10, 9.64, 9.18, 8.72, 8.27, 7.81, 7.35, 6.89, 6.43, 5.97, 5.51, 5.05, 4.59, 4.13, 3.67, 3.21, 2.76, 2.30, 1.84, 1.38, 0.92, 0.46, 0.00
###
K2a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 130.00, 128.67, 127.35, 126.02, 124.69, 123.37, 122.04, 120.71, 119.39, 118.06, 116.73, 115.41, 114.08, 112.76, 111.43, 110.10, 108.78, 107.45, 106.12, 104.80, 103.47, 102.14, 100.82, 99.49, 98.16, 96.84, 95.51, 94.18, 92.86, 91.53, 90.20, 88.88, 87.55, 86.22, 84.90, 83.57, 82.24, 80.92, 79.60, 78.27, 76.94, 75.61, 74.29, 72.96, 71.63, 70.31, 68.98, 67.65, 66.33, 65.00, 63.67, 62.35, 61.02, 59.69, 58.37, 57.04, 55.71, 54.39, 53.06, 51.73, 50.41, 49.08, 47.76, 46.43, 45.10, 43.78, 42.45, 41.12, 39.80, 38.47, 37.14, 35.82, 34.49, 33.16, 31.84, 30.51, 29.18, 27.86, 26.53, 25.20, 23.88, 22.55, 21.22, 19.90, 18.57, 17.24, 15.92, 14.59, 13.27, 11.94, 10.61, 9.29, 7.96, 6.63, 5.31, 3.98, 2.65, 1.33, 0.00
###
K2b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 0.00, 1.22, 2.45, 3.67, 4.90, 6.12, 7.35, 8.57, 9.80, 11.02, 12.24, 13.47, 14.69, 15.92, 17.14, 18.37, 19.59, 20.82, 22.04, 23.27, 24.49, 25.71, 26.94, 28.16, 29.39, 30.61, 31.84, 33.06, 34.29, 35.51, 36.73, 37.96, 39.18, 40.41, 41.63, 42.86, 44.08, 45.31, 46.53, 47.76, 48.98, 50.20, 51.43, 52.65, 53.88, 55.10, 56.33, 57.55, 58.78, 60.00, 61.22, 62.45, 63.67, 64.90, 66.12, 67.35, 68.57, 69.80, 71.02, 72.24, 73.47, 74.69, 75.92, 77.14, 78.37, 79.59, 80.82, 82.04, 83.27, 84.49, 85.71, 86.94, 88.16, 89.39, 90.61, 91.84, 93.06, 94.29, 95.51, 96.73, 97.96, 99.18, 100.41, 101.63, 102.86, 104.08, 105.31, 106.53, 107.76, 108.98, 110.20, 111.43, 112.65, 113.88, 115.10, 116.33, 117.55, 118.78, 120.00
###
K3a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 20.00, 19.80, 19.59, 19.39, 19.18, 18.98, 18.78, 18.57, 18.37, 18.16, 17.96, 17.76, 17.55, 17.35, 17.14, 16.94, 16.73, 16.53, 16.33, 16.12, 15.92, 15.71, 15.51, 15.31, 15.10, 14.90, 14.69, 14.49, 14.29, 14.08, 13.88, 13.67, 13.47, 13.27, 13.06, 12.86, 12.65, 12.45, 12.24, 12.04, 11.84, 11.63, 11.43, 11.22, 11.02, 10.82, 10.61, 10.41, 10.20, 10.00, 9.80, 9.59, 9.39, 9.18, 8.98, 8.78, 8.57, 8.37, 8.16, 7.96, 7.76, 7.55, 7.35, 7.14, 6.94, 6.73, 6.53, 6.33, 6.12, 5.92, 5.71, 5.51, 5.31, 5.10, 4.90, 4.69, 4.49, 4.29, 4.08, 3.88, 3.67, 3.47, 3.27, 3.06, 2.86, 2.65, 2.45, 2.24, 2.04, 1.84, 1.63, 1.43, 1.22, 1.02, 0.82, 0.61, 0.41, 0.20, 0.00
###
K3b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 50.00, 49.49, 48.98, 48.47, 47.96, 47.45, 46.94, 46.43, 45.92, 45.41, 44.90, 44.39, 43.88, 43.37, 42.86, 42.35, 41.84, 41.33, 40.82, 40.31, 39.80, 39.29, 38.78, 38.27, 37.76, 37.24, 36.73, 36.22, 35.71, 35.20, 34.69, 34.18, 33.67, 33.16, 32.65, 32.14, 31.63, 31.12, 30.61, 30.10, 29.59, 29.08, 28.57, 28.06, 27.55, 27.04, 26.53, 26.02, 25.51, 25.00, 24.49, 23.98, 23.47, 22.96, 22.45, 21.94, 21.43, 20.92, 20.41, 19.90, 19.39, 18.88, 18.37, 17.86, 17.35, 16.84, 16.33, 15.82, 15.31, 14.80, 14.29, 13.78, 13.27, 12.76, 12.24, 11.73, 11.22, 10.71, 10.20, 9.69, 9.18, 8.67, 8.16, 7.65, 7.14, 6.63, 6.12, 5.61, 5.10, 4.59, 4.08, 3.57, 3.06, 2.55, 2.04, 1.53, 1.02, 0.51, 0.00
###
K4a, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 180.00, 178.16, 176.33, 174.49, 172.65, 170.82, 168.98, 167.14, 165.31, 163.47, 161.63, 159.80, 157.96, 156.12, 154.29, 152.45, 150.61, 148.78, 146.94, 145.10, 143.27, 141.43, 139.59, 137.76, 135.92, 134.08, 132.24, 130.41, 128.57, 126.73, 124.90, 123.06, 121.22, 119.39, 117.55, 115.71, 113.88, 112.04, 110.20, 108.37, 106.53, 104.69, 102.86, 101.02, 99.18, 97.35, 95.51, 93.67, 91.84, 90.00, 88.16, 86.33, 84.49, 82.65, 80.82, 78.98, 77.14, 75.31, 73.47, 71.63, 69.80, 67.96, 66.12, 64.29, 62.45, 60.61, 58.78, 56.94, 55.10, 53.27, 51.43, 49.59, 47.76, 45.92, 44.08, 42.24, 40.41, 38.57, 36.73, 34.90, 33.06, 31.22, 29.39, 27.55, 25.71, 23.88, 22.04, 20.20, 18.37, 16.53, 14.69, 12.86, 11.02, 9.18, 7.35, 5.51, 3.67, 1.84, 0.00
###
K4b, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 50.00, 49.49, 48.98, 48.47, 47.96, 47.45, 46.94, 46.43, 45.92, 45.41, 44.90, 44.39, 43.88, 43.37, 42.86, 42.35, 41.84, 41.33, 40.82, 40.31, 39.80, 39.29, 38.78, 38.27, 37.76, 37.24, 36.73, 36.22, 35.71, 35.20, 34.69, 34.18, 33.67, 33.16, 32.65, 32.14, 31.63, 31.12, 30.61, 30.10, 29.59, 29.08, 28.57, 28.06, 27.55, 27.04, 26.53, 26.02, 25.51, 25.00, 24.49, 23.98, 23.47, 22.96, 22.45, 21.94, 21.43, 20.92, 20.41, 19.90, 19.39, 18.88, 18.37, 17.86, 17.35, 16.84, 16.33, 15.82, 15.31, 14.80, 14.29, 13.78, 13.27, 12.76, 12.24, 11.73, 11.22, 10.71, 10.20, 9.69, 9.18, 8.67, 8.16, 7.65, 7.14, 6.63, 6.12, 5.61, 5.10, 4.59, 4.08, 3.57, 3.06, 2.55, 2.04, 1.53, 1.02, 0.51, 0.00
###
K4c, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
20-70, 180.00, 178.16, 176.33, 174.49, 172.65, 170.82, 168.98, 167.14, 165.31, 163.47, 161.63, 159.80, 157.96, 156.12, 154.29, 152.45, 150.61, 148.78, 146.94, 145.10, 143.27, 141.43, 139.59, 137.76, 135.92, 134.08, 132.24, 130.41, 128.57, 126.73, 124.90, 123.06, 121.22, 119.39, 117.55, 115.71, 113.88, 112.04, 110.20, 108.37, 106.53, 104.69, 102.86, 101.02, 99.18, 97.35, 95.51, 93.67, 91.84, 90.00, 88.16, 86.33, 84.49, 82.65, 80.82, 78.98, 77.14, 75.31, 73.47, 71.63, 69.80, 67.96, 66.12, 64.29, 62.45, 60.61, 58.78, 56.94, 55.10, 53.27, 51.43, 49.59, 47.76, 45.92, 44.08, 42.24, 40.41, 38.57, 36.73, 34.90, 33.06, 31.22, 29.39, 27.55, 25.71, 23.88, 22.04, 20.20, 18.37, 16.53, 14.69, 12.86, 11.02, 9.18, 7.35, 5.51, 3.67, 1.84, 0.00
###
K4d, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89, 88, 87, 86, 85, 84, 83, 82, 81, 80, 79, 78, 77, 76, 75, 74, 73, 72, 71, 70, 69, 68, 67, 66, 65, 64, 63, 62, 61, 60, 59, 58, 57, 56, 55, 54, 53, 52, 51, 50, 49, 48, 47, 46, 45, 44, 43, 42, 41, 40, 39, 38, 37, 36, 35, 34, 33, 32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1
